date,city,population,population_imp,case,case_imp,death,death_imp,rate,rate_imp
1685592000.0,Seymour,16437.0,0,4888.0,0,90.0,0,0.0,0
1685592000.0,Sharon,2689.0,0,414.0,0,5.0,0,0.0,0
1685592000.0,Shelton,41129.0,0,12105.0,0,238.0,0,71.21903630490631,1
1685592000.0,Sherman,3630.0,0,596.0,0,3.0,0,0.0,0
1685592000.0,Simsbury,25395.0,0,4697.0,0,39.0,0,79.56058380019887,1
1685592000.0,Somers,10784.0,0,2481.0,0,25.0,0,0.0,0
1685592000.0,South Windsor,26162.0,0,5799.0,0,79.0,0,75.46330634734902,1
1685592000.0,Southbury,19571.0,0,4578.0,0,105.0,0,71.23036479242418,1
1685592000.0,Southington,43834.0,0,11249.0,0,151.0,0,20.532,0
1685592000.0,Sprague,2859.0,0,894.0,0,6.0,0,0.0,0
1685592000.0,Stafford,11893.0,0,2071.0,0,39.0,0,0.0,0
1685592000.0,Stamford,129638.0,0,36233.0,0,408.0,0,4.6283,0
1685592000.0,Sterling,3782.0,0,874.0,0,4.0,0,0.0,0
1685592000.0,Stonington,18559.0,0,4368.0,0,70.0,0,0.0,0
1685592000.0,Stratford,51849.0,0,17082.0,0,231.0,0,11.5721,0
1685592000.0,Suffield,15814.0,0,4445.0,0,56.0,0,61.59096004130204,1
1685592000.0,Thomaston,7535.0,0,2110.0,0,19.0,0,0.0,0
1685592000.0,Thompson,9379.0,0,2015.0,0,16.0,0,0.0,0
1685592000.0,Tolland,14618.0,0,2716.0,0,28.0,0,69.80521657408543,1
1685592000.0,Torrington,34044.0,0,9801.0,0,200.0,0,70.31452770118158,1
1685592000.0,Trumbull,35673.0,0,10683.0,0,189.0,0,67.0292120830503,1
1685592000.0,Union,839.0,0,260.0,0,2.0,0,0.0,0
1685592000.0,Vernon,29359.0,0,6111.0,0,92.0,0,0.0,0
1685592000.0,Voluntown,2510.0,0,627.0,0,7.0,0,0.0,0
1685592000.0,Wallingford,44326.0,0,13368.0,0,232.0,0,20.3041,0
1685592000.0,Warren,1395.0,0,179.0,0,0.0,0,0.0,0
1685592000.0,Washington,3428.0,0,635.0,0,2.0,0,59.103810302973855,1
1685592000.0,Waterbury,107568.0,0,38210.0,0,538.0,0,5.5779,0
1685592000.0,Waterford,18746.0,0,5521.0,0,93.0,0,62.182992718447004,1
1685592000.0,Watertown,21578.0,0,6019.0,0,93.0,0,64.75877833802693,1
1685592000.0,West Hartford,62965.0,0,14668.0,0,297.0,0,17.47,0
1685592000.0,West Haven,54620.0,0,16167.0,0,181.0,0,9.1542,0
1685592000.0,Westbrook,6869.0,0,1615.0,0,12.0,0,60.09438408510222,1
1685592000.0,Weston,10252.0,0,2045.0,0,8.0,0,0.0,0
1685592000.0,Westport,28491.0,0,6515.0,0,44.0,0,17.5494,0
1685592000.0,Wethersfield,26008.0,0,7180.0,0,67.0,0,0.0,0
1685592000.0,Willington,5864.0,0,987.0,0,6.0,0,0.0,0
1685592000.0,Wilton,18343.0,0,4047.0,0,66.0,0,70.35317553286453,1
1685592000.0,Winchester,10604.0,0,2230.0,0,19.0,0,0.0,0
1685592000.0,Windham,24561.0,0,7951.0,0,85.0,0,0.0,0
1685592000.0,Windsor Locks,12854.0,0,3345.0,0,49.0,0,0.0,0
1685592000.0,Windsor,28733.0,0,8674.0,0,175.0,0,65.57490569188509,1
