date,city,population,case,death,rate
2023-06-01 00:00:00,Winchester,10604.0,2230.0,19.0,0.0
2023-06-01 00:00:00,Windham,24561.0,7951.0,85.0,0.0
2023-06-01 00:00:00,Windsor Locks,12854.0,3345.0,49.0,0.0
2023-06-01 00:00:00,Windsor,28733.0,8674.0,175.0,65.57490569188509
2023-06-01 00:00:00,Wolcott,16587.0,4688.0,65.0,61.99596616796852
2023-06-01 00:00:00,Woodbridge,8750.0,2110.0,51.0,0.0
2023-06-01 00:00:00,Woodbury,9502.0,2003.0,16.0,63.222680634683734
2023-06-01 00:00:00,Woodstock,7858.0,1613.0,9.0,62.08377631834689
2023-06-01 00:00:00,Not_available,12958.837488829085,3295.0,5.0,60.97412436521162
2023-05-31 00:00:00,Andover,3236.0,614.0,6.0,0.0
2023-05-31 00:00:00,Ansonia,18654.0,6073.0,62.0,56.50732234133816
2023-05-31 00:00:00,Ashford,4255.0,874.0,7.0,0.0
2023-05-31 00:00:00,Avon,18276.0,3823.0,88.0,72.91151967377333
2023-05-31 00:00:00,Barkhamsted,3606.0,649.0,10.0,0.0
2023-05-31 00:00:00,Beacon Falls,6222.0,1600.0,13.0,0.0
2023-05-31 00:00:00,Berlin,20436.0,5056.0,59.0,67.37280845399218
2023-05-31 00:00:00,Bethany,5548.0,1223.0,5.0,0.0
2023-05-31 00:00:00,Bethel,19800.0,4874.0,74.0,0.0
2023-05-31 00:00:00,Bethlehem,3402.0,713.0,7.0,0.0
2023-05-31 00:00:00,Bloomfield,21211.0,6140.0,152.0,66.11857058826129
2023-05-31 00:00:00,Bolton,4884.0,930.0,7.0,0.0
2023-05-31 00:00:00,Bozrah,2726.0,740.0,9.0,0.0
2023-05-31 00:00:00,Branford,27900.0,7545.0,99.0,67.88783207975523
2023-05-31 00:00:00,Bridgeport,144399.0,48917.0,486.0,6.9253
2023-05-31 00:00:00,Bridgewater,1635.0,253.0,1.0,0.0
2023-05-31 00:00:00,Bristol,59947.0,17377.0,252.0,75.18176392046061
2023-05-31 00:00:00,Brookfield,16973.0,4419.0,30.0,62.94454773054982
2023-05-31 00:00:00,Brooklyn,8272.0,2430.0,22.0,0.0
2023-05-31 00:00:00,Burlington,9704.0,2114.0,10.0,0.0
2023-05-31 00:00:00,Canaan,1053.0,39.0,0.0,0.0
2023-05-31 00:00:00,Canterbury,5079.0,1324.0,5.0,57.942012382486595
2023-05-31 00:00:00,Canton,10254.0,1910.0,41.0,66.77064887824096
2023-05-31 00:00:00,Chaplin,2239.0,502.0,5.0,0.0
2023-05-31 00:00:00,Cheshire,28937.0,7900.0,90.0,67.15320129777874
2023-05-31 00:00:00,Chester,4213.0,751.0,20.0,60.8900111699706
2023-05-31 00:00:00,Clinton,12925.0,3229.0,21.0,62.18222544429325
2023-05-31 00:00:00,Colchester,15809.0,3715.0,54.0,66.63497324238823
2023-05-31 00:00:00,Colebrook,1400.0,171.0,2.0,0.0
2023-05-31 00:00:00,Columbia,5379.0,1163.0,13.0,60.13214575930988
2023-05-31 00:00:00,Cornwall,1362.0,232.0,2.0,0.0
2023-05-31 00:00:00,Coventry,12407.0,2562.0,14.0,0.0
2023-05-31 00:00:00,Cromwell,13839.0,3507.0,73.0,64.83287750322259
2023-05-31 00:00:00,Danbury,84694.0,23488.0,244.0,84.85507874668538
2023-05-31 00:00:00,Darien,21728.0,4530.0,17.0,71.72979944235776
2023-05-31 00:00:00,Deep River,4443.0,899.0,3.0,0.0
2023-05-31 00:00:00,Derby,12339.0,3823.0,33.0,0.0
2023-05-31 00:00:00,Durham,7165.0,1750.0,11.0,0.0
2023-05-31 00:00:00,East Granby,5140.0,1079.0,5.0,0.0
2023-05-31 00:00:00,East Haddam,8997.0,1620.0,28.0,0.0
2023-05-31 00:00:00,East Hampton,12800.0,2813.0,30.0,65.31009073339466
2023-05-31 00:00:00,East Hartford,49872.0,15983.0,213.0,61.364687547391085
2023-05-31 00:00:00,East Haven,28569.0,8949.0,114.0,0.0
2023-05-31 00:00:00,East Lyme,18462.0,4870.0,68.0,64.89751701397282
2023-05-31 00:00:00,East Windsor,11668.0,2662.0,64.0,0.0
2023-05-31 00:00:00,Eastford,1790.0,308.0,4.0,0.0
2023-05-31 00:00:00,Easton,7521.0,1711.0,7.0,60.564563432817366
2023-05-31 00:00:00,Ellington,16467.0,2780.0,37.0,73.78986808348047
2023-05-31 00:00:00,Enfield,43659.0,10989.0,100.0,77.51931807308297
2023-05-31 00:00:00,Essex,6668.0,1364.0,19.0,61.791349395092894
2023-05-31 00:00:00,Fairfield,62045.0,18493.0,266.0,72.5256106715749
2023-05-31 00:00:00,Farmington,25497.0,5670.0,77.0,74.84183299502277
2023-05-31 00:00:00,Franklin,1920.0,494.0,2.0,0.0
2023-05-31 00:00:00,Glastonbury,34482.0,7755.0,131.0,82.19622700830978
2023-05-31 00:00:00,Goshen,2863.0,568.0,4.0,0.0
2023-05-31 00:00:00,Granby,11507.0,2024.0,35.0,68.3559252748409
2023-05-31 00:00:00,Greenwich,62840.0,17350.0,149.0,9.5481
2023-05-31 00:00:00,Griswold,11534.0,3421.0,36.0,58.596744661105156
2023-05-31 00:00:00,Groton,38436.0,9729.0,138.0,77.11639746620338
2023-05-31 00:00:00,Guilford,22133.0,5770.0,54.0,0.0
2023-05-31 00:00:00,Haddam,8193.0,1715.0,13.0,62.28775323523584
2023-05-31 00:00:00,Hamden,60556.0,17494.0,252.0,13.2109
2023-05-31 00:00:00,Hampton,1842.0,526.0,1.0,0.0
2023-05-31 00:00:00,Hartford,122105.0,38531.0,444.0,7.3707
2023-05-31 00:00:00,Hartland,2120.0,305.0,6.0,58.824145192287624
2023-05-31 00:00:00,Harwinton,5420.0,1227.0,10.0,59.6155234665759
2023-05-31 00:00:00,Hebron,9504.0,1916.0,17.0,63.89245715441755
2023-05-31 00:00:00,Kent,2777.0,672.0,2.0,0.0
2023-05-31 00:00:00,Killingly,17336.0,5226.0,90.0,61.08019172112543
2023-05-31 00:00:00,Killingworth,6364.0,1346.0,12.0,0.0
2023-05-31 00:00:00,Lebanon,7144.0,1697.0,9.0,59.954107627956994
2023-05-31 00:00:00,Ledyard,14621.0,4051.0,18.0,0.0
2023-05-31 00:00:00,Lisbon,4220.0,1063.0,15.0,0.0
2023-05-31 00:00:00,Litchfield,8094.0,1622.0,14.0,0.0
2023-05-31 00:00:00,Lyme,2316.0,400.0,3.0,0.0
2023-05-31 00:00:00,Madison,18030.0,4403.0,51.0,66.40119097465778
2023-05-31 00:00:00,Manchester,57584.0,14610.0,209.0,87.45349708813106
2023-05-31 00:00:00,Mansfield,25487.0,3557.0,36.0,0.0
2023-05-31 00:00:00,Marlborough,6335.0,1411.0,33.0,0.0
2023-05-31 00:00:00,Meriden,59395.0,20325.0,249.0,53.01705488781596
2023-05-31 00:00:00,Middlebury,7798.0,1931.0,25.0,0.0
2023-05-31 00:00:00,Middlefield,4374.0,871.0,7.0,0.0
2023-05-31 00:00:00,Middletown,46258.0,13072.0,199.0,73.43848702023013
2023-05-31 00:00:00,Milford,54747.0,15439.0,211.0,75.59506456530366
2023-05-31 00:00:00,Monroe,19434.0,4959.0,27.0,0.0
2023-05-31 00:00:00,Montville,18508.0,5584.0,55.0,59.29096813262476
2023-05-31 00:00:00,Morris,2254.0,394.0,3.0,0.0
2023-05-31 00:00:00,Naugatuck,31108.0,9650.0,157.0,0.0
2023-05-31 00:00:00,New Britain,72495.0,23285.0,299.0,16.5529
2023-05-31 00:00:00,New Canaan,20233.0,4263.0,52.0,0.0
2023-05-31 00:00:00,New Fairfield,13878.0,2981.0,16.0,0.0
2023-05-31 00:00:00,New Hartford,6656.0,1322.0,7.0,61.451189550595934
2023-05-31 00:00:00,New Haven,130250.0,42963.0,321.0,10.7486
2023-05-31 00:00:00,New London,26858.0,9400.0,58.0,50.4546804237679
2023-05-31 00:00:00,New Milford,26805.0,6181.0,69.0,26.1145
2023-05-31 00:00:00,Newington,30014.0,8147.0,157.0,71.1373342927833
2023-05-31 00:00:00,Newtown,27891.0,6334.0,95.0,76.21911220096112
2023-05-31 00:00:00,Norfolk,1630.0,162.0,2.0,0.0
2023-05-31 00:00:00,North Branford,14146.0,3832.0,42.0,0.0
2023-05-31 00:00:00,North Canaan,3251.0,664.0,21.0,0.0
2023-05-31 00:00:00,North Haven,23683.0,7373.0,80.0,59.06169362861094
2023-05-31 00:00:00,North Stonington,5196.0,1181.0,14.0,0.0
2023-05-31 00:00:00,Norwalk,88816.0,27200.0,299.0,70.3038509824937
2023-05-31 00:00:00,Norwich,38768.0,12829.0,115.0,54.76170758286279
2023-05-31 00:00:00,Old Lyme,7306.0,1655.0,6.0,0.0
2023-05-31 00:00:00,Old Saybrook,10061.0,2622.0,73.0,62.955303546215866
2023-05-31 00:00:00,Orange,13926.0,3753.0,30.0,61.092875445026834
2023-05-31 00:00:00,Oxford,13255.0,3097.0,42.0,0.0
2023-05-31 00:00:00,Plainfield,15125.0,4434.0,57.0,0.0
2023-05-31 00:00:00,Plainville,17534.0,4848.0,74.0,63.36166539994316
2023-05-31 00:00:00,Plymouth,11598.0,2833.0,23.0,0.0
2023-05-31 00:00:00,Pomfret,4203.0,949.0,8.0,0.0
2023-05-31 00:00:00,Portland,9267.0,2023.0,34.0,63.492288667840185
2023-05-31 00:00:00,Preston,4625.0,1298.0,11.0,57.45431646071645
2023-05-31 00:00:00,Prospect,9702.0,2464.0,12.0,0.0
2023-05-31 00:00:00,Putnam,9389.0,2500.0,42.0,0.0
2023-05-31 00:00:00,Redding,9116.0,1683.0,23.0,65.00898905144419
2023-05-31 00:00:00,Ridgefield,24959.0,5348.0,80.0,76.11153874605486
2023-05-31 00:00:00,Rocky Hill,20115.0,5315.0,157.0,0.0
2023-05-31 00:00:00,Roxbury,2152.0,399.0,2.0,0.0
2023-05-31 00:00:00,Salem,4083.0,1003.0,7.0,0.0
2023-05-31 00:00:00,Salisbury,3600.0,692.0,7.0,0.0
2023-05-31 00:00:00,Scotland,1672.0,139.0,2.0,0.0
2023-05-31 00:00:00,Seymour,16437.0,4885.0,90.0,0.0
2023-05-31 00:00:00,Sharon,2689.0,414.0,5.0,0.0
2023-05-31 00:00:00,Shelton,41129.0,12101.0,238.0,71.24729169397249
2023-05-31 00:00:00,Sherman,3630.0,596.0,3.0,0.0
2023-05-31 00:00:00,Simsbury,25395.0,4699.0,39.0,79.54645610566578
2023-05-31 00:00:00,Somers,10784.0,2481.0,25.0,0.0
2023-05-31 00:00:00,South Windsor,26162.0,5799.0,79.0,75.46330634734902
2023-05-31 00:00:00,Southbury,19571.0,4576.0,105.0,71.24449248695727
2023-05-31 00:00:00,Southington,43834.0,11245.0,151.0,11.4067
2023-05-31 00:00:00,Sprague,2859.0,893.0,6.0,0.0
2023-05-31 00:00:00,Stafford,11893.0,2071.0,39.0,0.0
2023-05-31 00:00:00,Stamford,129638.0,36236.0,408.0,4.6283
2023-05-31 00:00:00,Sterling,3782.0,874.0,4.0,0.0
2023-05-31 00:00:00,Stonington,18559.0,4368.0,70.0,0.0
2023-05-31 00:00:00,Stratford,51849.0,17086.0,231.0,13.5007
2023-05-31 00:00:00,Suffield,15814.0,4446.0,56.0,61.583896194035496
2023-05-31 00:00:00,Thomaston,7535.0,2109.0,19.0,0.0
2023-05-31 00:00:00,Thompson,9379.0,2017.0,16.0,0.0
2023-05-31 00:00:00,Tolland,14618.0,2716.0,28.0,69.80521657408543
2023-05-31 00:00:00,Torrington,34044.0,9798.0,200.0,70.33571924298121
2023-05-31 00:00:00,Trumbull,35673.0,10683.0,189.0,67.0292120830503
2023-05-31 00:00:00,Union,839.0,260.0,2.0,0.0
2023-05-31 00:00:00,Vernon,29359.0,6110.0,92.0,0.0
2023-05-31 00:00:00,Voluntown,2510.0,627.0,7.0,0.0
2023-05-31 00:00:00,Wallingford,44326.0,13362.0,232.0,13.5361
2023-05-31 00:00:00,Warren,1395.0,179.0,0.0,0.0
2023-05-31 00:00:00,Washington,3428.0,635.0,2.0,59.103810302973855
2023-05-31 00:00:00,Waterbury,107568.0,38208.0,538.0,45.06298615848714
2023-05-31 00:00:00,Waterford,18746.0,5522.0,93.0,62.17592887118046
2023-05-31 00:00:00,Watertown,21578.0,6019.0,93.0,64.75877833802693
2023-05-31 00:00:00,West Hartford,62965.0,14662.0,297.0,11.1173
2023-05-31 00:00:00,West Haven,54620.0,16167.0,181.0,9.1542
2023-05-31 00:00:00,Westbrook,6869.0,1615.0,12.0,60.09438408510222
2023-05-31 00:00:00,Weston,10252.0,2045.0,8.0,0.0
2023-05-31 00:00:00,Westport,28491.0,6517.0,44.0,17.5494
2023-05-31 00:00:00,Wethersfield,26008.0,7180.0,67.0,0.0
2023-05-31 00:00:00,Willington,5864.0,986.0,6.0,0.0
2023-05-31 00:00:00,Wilton,18343.0,4045.0,66.0,0.0
2023-05-31 00:00:00,Winchester,10604.0,2231.0,19.0,64.13603937062854
2023-05-31 00:00:00,Windham,24561.0,7950.0,85.0,0.0
2023-05-31 00:00:00,Windsor Locks,12854.0,3345.0,49.0,0.0
2023-05-31 00:00:00,Windsor,28733.0,8673.0,175.0,65.58196953915164
2023-05-31 00:00:00,Wolcott,16587.0,4689.0,65.0,61.988902320701975
2023-05-31 00:00:00,Woodbridge,8750.0,2110.0,51.0,0.0
2023-05-31 00:00:00,Woodbury,9502.0,2002.0,16.0,63.22974448195028
2023-05-31 00:00:00,Woodstock,7858.0,1613.0,9.0,62.08377631834689
2023-05-31 00:00:00,Not_available,12935.245923022665,3287.0,5.0,60.97987344478117
2023-05-30 00:00:00,Andover,3236.0,614.0,6.0,0.0
2023-05-30 00:00:00,Ansonia,18654.0,6074.0,62.0,56.500258494071616
2023-05-30 00:00:00,Ashford,4255.0,874.0,7.0,0.0
2023-05-30 00:00:00,Avon,18276.0,3823.0,88.0,0.0
2023-05-30 00:00:00,Barkhamsted,3606.0,649.0,10.0,59.79526442294157
2023-05-30 00:00:00,Beacon Falls,6222.0,1600.0,13.0,0.0
2023-05-30 00:00:00,Berlin,20436.0,5055.0,59.0,67.37987230125873
2023-05-30 00:00:00,Bethany,5548.0,1223.0,5.0,0.0
2023-05-30 00:00:00,Bethel,19800.0,4874.0,74.0,0.0
2023-05-30 00:00:00,Bethlehem,3402.0,713.0,7.0,0.0
2023-05-30 00:00:00,Bloomfield,21211.0,6137.0,152.0,66.13976213006094
2023-05-30 00:00:00,Bolton,4884.0,930.0,7.0,0.0
2023-05-30 00:00:00,Bozrah,2726.0,740.0,9.0,0.0
2023-05-30 00:00:00,Branford,27900.0,7545.0,99.0,67.88783207975523
2023-05-30 00:00:00,Bridgeport,144399.0,48916.0,486.0,7.6178
2023-05-30 00:00:00,Bridgewater,1635.0,253.0,1.0,0.0
2023-05-30 00:00:00,Bristol,59947.0,17376.0,252.0,11.677
2023-05-30 00:00:00,Brookfield,16973.0,4418.0,30.0,62.951611577816365
2023-05-30 00:00:00,Brooklyn,8272.0,2430.0,22.0,0.0
2023-05-30 00:00:00,Burlington,9704.0,2115.0,10.0,0.0
2023-05-30 00:00:00,Canaan,1053.0,38.0,0.0,0.0
2023-05-30 00:00:00,Canterbury,5079.0,1324.0,5.0,57.942012382486595
2023-05-30 00:00:00,Canton,10254.0,1909.0,41.0,66.77771272550751
